State Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRAM_Address,"Read U0,U1","Read V0,V1","Read U2,U3","Read V2,V3",,Write RGB first 2/3,Write RGB last 2/3,"Read Y12,Y13",,,,,,,"Write Reven, Geven","Write Beven, Rodd","Read Y14,Y15",,"Write Godd, Bodd",,"Read V8,V9","Read U8,U9",,"Write R,G,B First 2/3","Write R,G,B last 1/3",,,,,
SRAM_read_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRAM_write_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRAM_we_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Division for RGB,,,,Division for Uo and Vo,,,,,,,,,,,,,,,,,,,,
R,,,,,,,,,,76284Y[12] + 104595V[12],76284Y[13] + 104595V[13],,,,Division for RGB,,,,76284Y[14] + 104595V[14],76284Y[15] + 104595V[15],,,,Division for RGB,,,,76284Y[16] + 104595V[16],76284Y[17] + 104595V[17],
G,,,,,,,,,,,,@76284Y[12]@ - 25624U[12] - 53281V[12] ****** @76284Y[13]@ - 25624U[13] - 53281V[13],,Start of CC2,,,,,,,@76284Y[14]@ - 25624U[14] - 53281V[14] ****** @76284Y[15]@ - 25624U[15] - 53281V[15],,Start of CC3,,,,,,,@76284Y[16]@ - 25624U[16] - 53281V[16] ****** @76284Y[17]@ - 25624U[17] - 53281V[17]
B,,,,,,,,,,@76284Y[12]@ + 132251U[12] ,@76284Y[13]@ + 132251U[13],,,,,,,,@76284Y[14]@ + 132251U[14] ,@76284Y[15]@ + 132251U[15],,,,,,,,@76284Y[16]@ + 132251U[16] ,@76284Y[17]@ + 132251U[17],
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U',,,,,,U'[13] = 21U[6] - 52U[5] + 128,U'[13] = 159U[4] + 159U[3],U'[13] = -52U[2] + 21U[1],,,,,,,U'[15] = 21U[7] - 52U[6] + 128,U'[15] = 159U[5] + 159U[4],U'[15] = -52U[3] + 21U[2],,,,,,,U'[17] = 21U[8] - 52U[7] + 128,U'[17] = 159U[6] + 159U[5],U'[17] = -52U[4] + 21U[3],,,,
U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U[(j+5)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U[(j+3)/2],,,,,,,, ,,,,,,,,, ,,,,,,,,, ,,,,
U[(j+1)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U[(j-1)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U[(j-3)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U[(j-5)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V',,,,,,V'[13] = 21V[6] - 52V[5] + 128,V'[13] = 159V[4] + 159V[3],V'[13] = -52V[2] + 21V[1],,,,,,,V'[15] = 21V[7] - 52V[6] + 128,V'[15] = 159V[5] + 159V[4],V'[15] = -52V[3] + 21V[2],,,,,,,V'[17] = 21V[8] - 52V[7] + 128,V'[17] = 159V[6] + 159V[5],V'[17] = -52V[4] + 21V[3],,,,
V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V[(j+5)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V[(j-5)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V[(j+3)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V[(j-3)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V[(j+1)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V[(j-1)/2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
